track_uri|danceability|energy|key|loudness|mode|speechiness|acousticness|instrumentalness|liveness|valence|tempo|time_signature
2DjwwCcCwPVH1JdEnV3D7b|0.726|0.425|0|-13.347|1|0.0336|0.871|0.835|0.115|0.359|110.045|4
5Nvn2TM2qUFT071yjtBEhS|0.718|0.365|7|-12.242|0|0.0371|0.889|0.873|0.117|0.501|114.938|4
4TUl29ysJKAnaLF3GW4eXS|0.814|0.413|6|-11.942|0|0.0946|0.887|0.000142|0.0885|0.696|113.825|3
2NAgIaxjawosz38kB2zDK3|0.647|0.416|5|-11.758|0|0.0442|0.932|0.912|0.089|0.562|160.122|3
6U1BpLqcOaCFUlrBNil41n|0.704|0.386|3|-8.48|0|0.0419|0.89|0.000105|0.103|0.536|119.872|4
5qtxt2EgvhgCvPRNxrGtTS|0.755|0.678|9|-10.448|0|0.039|0.753|0.892|0.0578|0.909|109.959|3
0z3ZCPb0GVKAdj6ZwC11lS|0.812|0.578|2|-10.379|0|0.0456|0.825|0.00849|0.109|0.64|100.017|4
7w0ZeZTGCLUEisZ004VTE6|0.371|0.732|11|-8.255|1|0.044|0.565|0.857|0.155|0.779|168.263|3
5VMYhZwDWfODC67dkymxDH|0.519|0.705|2|-7.589|1|0.116|0.776|0.000132|0.0917|0.843|161.051|4
6eZpQFOkhbjJnxeNoTcJCf|0.384|0.299|5|-10.117|0|0.0842|0.863|0.000224|0.219|0.245|60.824|4
6OOvGgEcdVEwFibtZqjlI3|0.565|0.717|7|-7.333|0|0.0601|0.712|0.0|0.0886|0.608|122.742|3
4fJPS7ZHlDfvl1VLB8wSht|0.387|0.388|10|-10.871|1|0.045|0.871|0.758|0.97|0.23|97.717|3
2FsqHuZ5ags1lonhvchG6R|0.628|0.846|11|-6.145|1|0.0464|0.847|0.911|0.185|0.445|91.3|3
0SKnI52XRUTFWYV4yumy9g|0.286|0.493|11|-7.707|1|0.0308|0.935|0.935|0.141|0.334|82.438|3
3fzOkpVcbuAeHhJdFV3p4P|0.443|0.908|4|-5.912|0|0.0362|0.813|0.854|0.0838|0.717|102.674|4
2Odc7dCm0s6tKUEWpSAZ08|0.342|0.679|11|-7.803|0|0.0395|0.927|0.855|0.0957|0.725|170.282|3
34OCiSq4cXgUbOUyVlOZ60|0.317|0.352|5|-10.599|1|0.0502|0.968|0.863|0.138|0.407|85.847|4
6FCdnTNDChPa0Qo6QaaQHN|0.385|0.462|6|-12.57|1|0.031|0.798|0.943|0.651|0.392|110.616|5
5aFj2LDXFKDg7aE79OOLGT|0.472|0.649|4|-10.75|0|0.0555|0.831|0.886|0.109|0.81|120.214|3
24yJdBtTWspvOyYdGFr5wK|0.336|0.514|0|-11.798|1|0.0531|0.799|0.941|0.114|0.376|184.864|3
